Date,Open,High,Low,Close,Change,P_Open,P_High,P_Low,P_Close,P_High-Open,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
2015-08-18,1117.48,1121.41,1110.02,1117.87,2.46,1115.3,1121.31,1112.15,1115.41,6.01,6.18,4464.17,-5.9,9.16,0
2015-08-17,1114.84,1122.98,1114.23,1117.51,-0.36,1117.48,1121.41,1110.02,1117.87,3.93,2.46,4466.78,-3.54,11.39,0
2015-11-04,1121.6,1123.11,1106.66,1107.95,-9.56,1114.84,1122.98,1114.23,1117.51,8.14,-0.36,4469.56,-5.47,8.75,1
2016-01-26,1108.34,1123.21,1108.15,1120.08,12.13,1121.6,1123.11,1106.66,1107.95,1.51,-9.56,4459.32,-15.16,16.45,0
2016-01-28,1123.26,1123.8,1111.66,1115.13,-4.95,1108.34,1123.21,1108.15,1120.08,14.87,12.13,4459.78,-3.13,15.06,1
2015-09-16,1105.72,1124.44,1104.26,1118.96,3.83,1123.26,1123.8,1111.66,1115.13,0.54,-4.95,4473.85,-8.67,12.14,1
2015-09-07,1123.11,1125.05,1116.96,1119.63,0.67,1105.72,1124.44,1104.26,1118.96,18.72,3.83,4453.38,-5.48,20.18,0
2015-09-09,1122.95,1125.6,1101.61,1107.14,-12.49,1123.11,1125.05,1116.96,1119.63,1.94,0.67,4484.75,-5.42,8.09,1
2015-08-12,1108.86,1125.67,1102.1,1125.29,18.15,1122.95,1125.6,1101.61,1107.14,2.65,-12.49,4457.3,-18.46,23.99,0
2015-08-13,1124.52,1126.81,1113.97,1115.49,-9.8,1108.86,1125.67,1102.1,1125.29,16.81,18.15,4461.92,-0.38,23.57,1
2015-09-08,1120.53,1126.81,1118.92,1121.79,6.3,1124.52,1126.81,1113.97,1115.49,2.29,-9.8,4480.79,-11.32,12.84,1
2016-01-27,1120.91,1128.11,1115.01,1125.06,3.27,1120.53,1126.81,1118.92,1121.79,6.28,6.3,4488.05,-5.02,7.89,0
2015-09-30,1126.13,1128.44,1112.06,1115.34,-9.72,1120.91,1128.11,1115.01,1125.06,7.2,3.27,4489.09,-3.05,13.1,1
2015-08-27,1124.25,1129.55,1118.71,1125.34,10,1126.13,1128.44,1112.06,1115.34,2.31,-9.72,4481.97,-13.1,16.38,1
2016-02-01,1117.94,1130.01,1117.23,1127.9,2.56,1124.25,1129.55,1118.71,1125.34,5.3,10,4497.85,-4.21,10.84,1
2016-02-02,1129.89,1130.26,1122.48,1129.07,1.17,1117.94,1130.01,1117.23,1127.9,12.07,2.56,4493.08,-2.11,12.78,0
2015-09-04,1125.23,1132.06,1117.57,1122.28,-6.79,1129.89,1130.26,1122.48,1129.07,0.37,1.17,4511.7,-1.19,7.78,0
2015-07-20,1132.49,1133.24,1084.15,1097.51,-24.77,1125.23,1132.06,1117.57,1122.28,6.83,-6.79,4497.14,-9.78,14.49,1
2016-12-22,1131.25,1134.19,1127.93,1128.28,30.77,1132.49,1133.24,1084.15,1097.51,0.75,-24.77,4447.39,-35.73,49.09,1
2015-09-23,1124.94,1134.31,1122.16,1130.55,2.27,1131.25,1134.19,1127.93,1128.28,2.94,30.77,4521.65,-5.91,6.26,0
2015-09-03,1133.9,1134.58,1122.25,1125.89,-4.66,1124.94,1134.31,1122.16,1130.55,9.37,2.27,4511.96,-3.76,12.15,1
2015-08-19,1117.74,1134.83,1116.57,1133.85,7.96,1133.9,1134.58,1122.25,1125.89,0.68,-4.66,4516.62,-8.69,12.33,0
2015-09-29,1132.61,1134.85,1124.69,1127.87,-5.98,1117.74,1134.83,1116.57,1133.85,17.09,7.96,4502.99,-0.98,18.26,1
2015-09-17,1121.04,1135.5,1115.67,1131.11,3.24,1132.61,1134.85,1124.69,1127.87,2.24,-5.98,4520.02,-6.98,10.16,1
2016-12-23,1132.65,1135.76,1128.38,1131.77,0.66,1121.04,1135.5,1115.67,1131.11,14.46,3.24,4503.32,-4.39,19.83,0
2015-09-22,1132.83,1136.54,1121.64,1125.42,-6.35,1132.65,1135.76,1128.38,1131.77,3.11,0.66,4528.56,-3.99,7.38,1
2015-08-31,1132.61,1136.78,1125.95,1134.6,9.18,1132.83,1136.54,1121.64,1125.42,3.71,-6.35,4516.43,-11.12,14.9,0
2016-12-21,1132.64,1137.19,1129.58,1131.51,-3.09,1132.61,1136.78,1125.95,1134.6,4.17,9.18,4529.94,-2.18,10.83,0
2015-11-03,1135.11,1138.54,1114.87,1117.93,-13.58,1132.64,1137.19,1129.58,1131.51,4.55,-3.09,4530.92,-5.68,7.61,1
2016-12-20,1138.15,1139.78,1125.92,1132.38,14.45,1135.11,1138.54,1114.87,1117.93,3.43,-13.58,4506.45,-20.61,23.67,1
2015-09-21,1137.81,1140.17,1130.25,1133.84,1.46,1138.15,1139.78,1125.92,1132.38,1.63,14.45,4536.23,-7.4,13.86,1
2015-08-28,1126.26,1141.02,1124.12,1134.33,0.49,1137.81,1140.17,1130.25,1133.84,2.36,1.46,4542.07,-6.33,9.92,0
2016-12-16,1128.85,1141.29,1126.77,1133.6,-0.73,1126.26,1141.02,1124.12,1134.33,14.76,0.49,4525.73,-6.69,16.9,1
2015-10-02,1114.19,1141.51,1104.97,1137.99,4.39,1128.85,1141.29,1126.77,1133.6,12.44,-0.73,4530.51,-7.69,14.52,1
2015-09-18,1131.19,1141.9,1127.81,1139.55,1.56,1114.19,1141.51,1104.97,1137.99,27.32,4.39,4498.66,-3.52,36.54,0
2015-10-05,1138.27,1142.22,1130.42,1135.9,-3.65,1131.19,1141.9,1127.81,1139.55,10.71,1.56,4540.45,-2.35,14.09,1
2016-12-19,1134.26,1142.44,1133.98,1137.84,1.94,1138.27,1142.22,1130.42,1135.9,3.95,-3.65,4546.81,-6.32,11.8,0
2015-09-02,1139.71,1142.7,1132.21,1134.03,-3.81,1134.26,1142.44,1133.98,1137.84,8.18,1.94,4548.52,-4.6,8.46,1
2015-11-02,1140.95,1143.2,1132.9,1134.72,0.69,1139.71,1142.7,1132.21,1134.03,2.99,-3.81,4548.65,-8.67,10.49,0
2016-12-15,1141.64,1144.51,1123.04,1128.6,-6.12,1140.95,1143.2,1132.9,1134.72,2.25,0.69,4551.77,-8.48,10.3,1
2016-12-28,1138.36,1144.59,1136.66,1141.5,12.9,1141.64,1144.51,1123.04,1128.6,2.87,-6.12,4537.79,-15.91,21.47,1
2016-02-03,1126.71,1145.74,1124.56,1142.65,1.15,1138.36,1144.59,1136.66,1141.5,6.23,12.9,4561.11,-3.09,7.93,0
2015-07-17,1145.5,1145.99,1131.43,1134.11,-8.54,1126.71,1145.74,1124.56,1142.65,19.03,1.15,4539.66,-3.09,21.18,0
2015-08-26,1142.85,1146.73,1118.03,1124.88,-9.23,1145.5,1145.99,1131.43,1134.11,0.49,-8.54,4557.03,-11.88,14.56,1
