Date,Open,High,Low,Close,Change,Volume,P_Open,P_High,P_Low,P_Close,P_Volume,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
17.05.2023,1989.625,1992.985,1974.935,1982.625,-6.923,1380,1986.785,1994.915,1975.905,1989.548,1260,-5.387,7947.153,-5.367,19.01,0
01.09.2020,1967.758,1992.298,1963.115,1972.468,-10.157,1380,1989.625,1992.985,1974.935,1982.625,1380,-6.923,7940.17,-10.36,18.05,1
30.04.2023,1990.398,1991.755,1986.515,1986.748,14.28,120,1967.758,1992.298,1963.115,1972.468,1380,-10.157,7895.639,-19.83,29.183,1
06.03.2022,1974.472,1991.358,1974.192,1988.608,1.86,60,1990.398,1991.755,1986.515,1986.748,120,14.28,7955.416,-5.007,5.24,0
19.03.2023,1984.148,1990.548,1974.845,1976.895,-11.713,120,1974.472,1991.358,1974.192,1988.608,60,1.86,7928.63,-2.75,17.166,1
17.08.2020,1932.415,1990.478,1929.348,1983.725,6.83,1380,1984.148,1990.548,1974.845,1976.895,120,-11.713,7926.436,-13.653,15.703,1
03.04.2023,1957.015,1990.365,1949.595,1984.848,1.123,1379,1932.415,1990.478,1929.348,1983.725,1380,6.83,7835.966,-6.753,61.13,0
13.03.2022,1984.742,1990.308,1970.548,1974.108,-10.74,120,1957.015,1990.365,1949.595,1984.848,1379,1.123,7881.823,-5.517,40.77,1
02.08.2020,1978.898,1989.148,1976.908,1981.855,7.747,120,1984.742,1990.308,1970.548,1974.108,120,-10.74,7919.706,-16.2,19.76,1
17.03.2023,1921.295,1988.998,1918.135,1987.798,5.943,1260,1978.898,1989.148,1976.908,1981.855,120,7.747,7926.809,-7.293,12.24,0
17.04.2022,1974.038,1988.028,1970.838,1986.622,-1.176,120,1921.295,1988.998,1918.135,1987.798,1260,5.943,7816.226,-1.2,70.863,0
31.03.2023,1978.365,1987.485,1966.754,1968.748,-17.874,1260,1974.038,1988.028,1970.838,1986.622,120,-1.176,7919.526,-1.406,17.19,1
20.07.2023,1977.635,1987.385,1965.198,1972.115,3.367,1378,1978.365,1987.485,1966.754,1968.748,1260,-17.874,7901.352,-18.737,20.731,0
18.05.2023,1982.654,1985.944,1951.885,1958.295,-13.82,1380,1977.635,1987.385,1965.198,1972.115,1378,3.367,7902.333,-15.27,22.187,1
23.04.2023,1980.748,1985.298,1980.518,1984.605,26.31,120,1982.654,1985.944,1951.885,1958.295,1380,-13.82,7878.778,-27.649,34.059,0
24.05.2023,1974.935,1985.194,1956.104,1959.715,-24.89,1380,1980.748,1985.298,1980.518,1984.605,120,26.31,7931.169,-0.693,4.78,0
21.03.2023,1976.545,1985.025,1935.194,1943.035,-16.68,1380,1974.935,1985.194,1956.104,1959.715,1380,-24.89,7875.948,-25.479,29.09,1
