Date,Open,High,Low,Close,Change,Volume,P_Open,P_High,P_Low,P_Close,P_Open-Low,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
11.29.2022,1741.1,1757.48,1739.86,1749.11,7.97,8689,1758.14,1758.14,1734.61,1738.04,23.53,-20.15,6988.93,-20.1,23.53,1
08.26.2022,1758.14,1758.14,1734.61,1738.04,-20.15,5933,1749.2,1758.33,1748.71,1754.2,0.49,4.84,7010.44,-4.13,9.62,1
11.24.2022,1749.2,1758.33,1748.71,1754.2,4.84,8346,1758.19,1758.67,1745.8,1747,12.39,-11.22,7009.66,-11.67,12.87,0
08.19.2022,1758.19,1758.67,1745.8,1747,-11.22,6009,1749.64,1760.18,1746.27,1749.92,3.37,0.28,7006.01,-10.26,13.91,1
09.27.2021,1749.64,1760.18,1746.27,1749.92,0.28,5898,1756.63,1760.47,1750.62,1753.93,6.01,-2.7,7021.65,-6.54,9.85,0
10.11.2021,1756.63,1760.47,1750.62,1753.93,-2.7,6031,1754.2,1760.52,1745.97,1753.6,8.23,-0.6,7014.29,-6.92,14.55,1
11.25.2022,1754.2,1760.52,1745.97,1753.6,-0.6,7910,1726.28,1762.18,1722.77,1756.85,3.51,30.58,6968.08,-5.33,39.41,0
09.30.2021,1726.28,1762.18,1722.77,1756.85,30.58,6063,1756.85,1762.48,1750.58,1760.27,6.27,3.42,7030.18,-2.21,11.9,0
10.01.2021,1756.85,1762.48,1750.58,1760.27,3.42,6110,1758.18,1762.73,1739.66,1741.14,18.52,-12.46,7001.71,-21.59,23.07,1
11.28.2022,1758.18,1762.73,1739.66,1741.14,-12.46,8479,1759.57,1764.54,1746.6,1762.55,12.97,3.02,7033.26,-1.99,17.94,1
10.06.2021,1759.57,1764.54,1746.6,1762.55,3.02,5928,1751.34,1764.72,1750.12,1758.19,1.22,6.81,7024.37,-6.53,14.6,0
08.25.2022,1751.34,1764.72,1750.12,1758.19,6.81,6079,1762.57,1765.98,1752.71,1754.88,9.86,-7.67,7036.14,-11.1,13.27,1
10.07.2021,1762.57,1765.98,1752.71,1754.88,-7.67,6131,1753.95,1766.05,1744.5,1764.31,9.45,10.35,7028.81,-1.74,21.55,1
09.20.2021,1753.95,1766.05,1744.5,1764.31,10.35,5885,1752.8,1766.42,1748.98,1753.96,3.82,1.21,7022.16,-12.46,17.44,0
09.17.2021,1752.8,1766.42,1748.98,1753.96,1.21,6204,1760.12,1766.82,1747.6,1750.38,12.52,-9.87,7024.92,-16.44,19.22,1
11.18.2022,1760.12,1766.82,1747.6,1750.38,-9.87,8659,1755.9,1767.14,1752.81,1766,3.09,10,7041.85,-1.14,14.33,1
07.29.2022,1755.9,1767.14,1752.81,1766,10,7154,1753.96,1768.18,1751.48,1759.93,2.48,6,7033.55,-8.25,16.7,0
10.12.2021,1753.96,1768.18,1751.48,1759.93,6,6037,1769.09,1769.13,1749.55,1759.53,19.54,-9.54,7047.3,-9.6,19.58,1
10.05.2021,1769.09,1769.13,1749.55,1759.53,-9.54,6010,1749.02,1769.3,1747.71,1768.09,1.31,18.98,7034.12,-1.21,21.59,1
11.30.2022,1749.02,1769.3,1747.71,1768.09,18.98,7840,1760.28,1769.5,1748.05,1769.07,12.23,8.8,7046.9,-0.43,21.45,0
10.04.2021,1760.28,1769.5,1748.05,1769.07,8.8,5906,1754.78,1770.36,1747.28,1770.26,7.5,15.27,7042.68,-0.1,23.08,1
11.11.2022,1754.78,1770.36,1747.28,1770.26,15.27,8668,1767.32,1771.24,1760.48,1764.4,6.84,-2.98,7063.44,-6.84,10.76,1
10.18.2021,1767.32,1771.24,1760.48,1764.4,-2.98,6451,1761.92,1771.56,1756.42,1758.22,5.5,-3.88,7048.12,-13.34,15.14,1
08.18.2022,1761.92,1771.56,1756.42,1758.22,-3.88,6113,1760.85,1771.8,1755.71,1765.18,5.14,4.13,7053.54,-6.62,16.09,0
08.03.2022,1760.85,1771.8,1755.71,1765.18,4.13,5800,1765.06,1772.15,1732.8,1738.99,32.26,-26.15,7009,-33.16,39.35,0
07.06.2022,1765.06,1772.15,1732.8,1738.99,-26.15,6999,1765.85,1773.74,1758.69,1771.96,7.16,5.96,7070.24,-1.78,15.05,1
08.01.2022,1765.85,1773.74,1758.69,1771.96,5.96,5904,1774.12,1774.12,1753.7,1771.02,20.42,0.76,7072.96,-3.1,20.42,0
11.14.2022,1774.12,1774.12,1753.7,1771.02,0.76,7128,1773.7,1774.42,1755.05,1760.25,18.65,-13.39,7063.42,-14.17,19.37,1
11.17.2022,1773.7,1774.42,1755.05,1760.25,-13.39,8715,1767.69,1774.81,1738.99,1741.73,28.7,-25.94,7023.22,-33.08,35.82,1
09.23.2021,1767.69,1774.81,1738.99,1741.73,-25.94,5942,1770.36,1779.33,1759.35,1776.99,11.01,6.64,7086.03,-2.34,19.98,0
12.15.2021,1770.36,1779.33,1759.35,1776.99,6.64,6240,1768.1,1780.02,1766.66,1770.79,1.44,2.54,7085.57,-9.23,13.36,0
12.06.2022,1768.1,1780.02,1766.66,1770.79,2.54,8950,1754.92,1780.03,1753.51,1756.63,1.41,1.75,7045.09,-23.4,26.52,1
10.08.2021,1754.92,1780.03,1753.51,1756.63,1.75,6095,1764.3,1780.72,1758.65,1773.9,5.65,9.59,7077.57,-6.82,22.07,1
09.21.2021,1764.3,1780.72,1758.65,1773.9,9.59,5922,1775.21,1781.68,1760.21,1762.1,15,-13.23,7079.2,-19.58,21.47,1
08.17.2022,1775.21,1781.68,1760.21,1762.1,-13.23,6207,1779.06,1782.3,1772.89,1775.33,6.17,-3.78,7109.58,-6.97,9.41,1
08.16.2022,1779.06,1782.3,1772.89,1775.33,-3.78,6136,1781.83,1782.33,1762.45,1767.88,19.38,-13.94,7094.49,-14.45,19.88,0
12.02.2021,1781.83,1782.33,1762.45,1767.88,-13.94,6129,1764.42,1783.54,1762.95,1768.96,1.47,4.56,7079.87,-14.58,20.59,0
10.19.2021,1764.42,1783.54,1762.95,1768.96,4.56,6582,1778.08,1784.04,1770.44,1773.64,7.64,-4.45,7106.2,-10.4,13.6,0
11.16.2022,1778.08,1784.04,1770.44,1773.64,-4.45,8577,1773.93,1784.86,1766.38,1767.67,7.55,-6.23,7092.84,-17.19,18.48,1
09.22.2021,1773.93,1784.86,1766.38,1767.67,-6.23,6026,1767.84,1785.49,1766.52,1783.25,1.32,15.37,7103.1,-2.24,18.97,0
12.03.2021,1767.84,1785.49,1766.52,1783.25,15.37,6389,1774.77,1786.06,1770.45,1782.63,4.32,7.87,7113.91,-3.43,15.61,0
12.10.2021,1774.77,1786.06,1770.45,1782.63,7.87,6495,1771.4,1786.53,1767.18,1778.09,4.22,7.07,7103.2,-8.44,19.35,1
11.15.2022,1771.4,1786.53,1767.18,1778.09,7.07,522,1782.39,1786.58,1774.65,1774.76,7.74,-7.61,7118.38,-11.82,11.93,1
12.09.2021,1782.39,1786.58,1774.65,1774.76,-7.61,6103,1771.91,1786.6,1761.04,1761.05,10.87,-10.91,7080.6,-25.55,25.56,1
08.02.2022,1771.91,1786.6,1761.04,1761.05,-10.91,5667,1778.16,1786.77,1773.46,1783.96,4.7,5.83,7122.35,-2.81,13.31,0
12.07.2021,1778.16,1786.77,1773.46,1783.96,5.83,6327,1784.42,1786.87,1777.06,1778.13,7.36,-5.12,7126.48,-8.74,9.81,0
12.06.2021,1784.42,1786.87,1777.06,1778.13,-5.12,6264,1769,1787.4,1766.82,1781.6,2.18,12.64,7104.82,-5.8,20.58,1
10.20.2021,1769,1787.4,1766.82,1781.6,12.64,6667,1787.8,1787.96,1760.81,1769.61,26.99,-18.18,7106.18,-18.35,27.15,0
11.03.2021,1787.8,1787.96,1760.81,1769.61,-18.18,6256,1781.63,1788.75,1777.45,1782.82,4.18,1.22,7130.65,-5.93,11.3,1
10.21.2021,1781.63,1788.75,1777.45,1782.82,1.22,6485,1786.54,1788.81,1766.99,1770.35,19.55,-16.21,7112.69,-18.46,21.82,0
